,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
par_heating,73.10879801806038,117.65472126204412,91.4736857819482,87.37841563546476,95.84591013118384,399.3122578458649,54.297991625119124,16.495418352748178,241.73846971239988,139.88697118360707,1791.8923587822444,594.7722201512837,71.81644484536665,22.846820356023997,27.273926850523214,50.501202231602505,116.08735374519762,11.038516261179845,4.061309060165383,10.717892389241104,5.138817451784899,23.292990687145533,98.03119082017503,387.4251870313919,134.56058918684997,73.39492351874362,59.879750450439175,110.14883605483939,329.50905657358135,9.491583932864359,29.834378039517244
par_cooling,317.33078795529184,124.28194822401181,116.80918721129038,0.0,91.21307231877356,0.0,0.0,9.21352498453626,839.4882333042729,0.0,1940.7013513328966,0.0,438.43025909669416,85.96283550843049,75.80251922646598,0.0,1439.5658069125534,24.054197755624138,0.0,29.29909578040497,52.82106214995906,25.371073791048524,282.058453123147,0.0,262.57296284978645,96.77867561925518,165.08285787158044,66.04521887743239,0.0,31.643558826924302,47.82079192296045
