,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
0,6438.761418555863,9298.364102283766,3493.264866179276,6405.973087875413,6449.876921857969,59200.42816120173,3604.5069534995973,732.646635766531,28905.89850485129,7830.721118298159,44907.254971111186,30045.364305019084,5468.434747594726,1872.0624924146973,4197.984904960547,2551.994458186627,36655.56377765345,1055.0139597222924,735.253121058498,665.5184903765587,437.197710237593,772.4411021451252,11977.943558715513,7356.125684704564,15009.529497660187,5691.9530389851025,5635.945059893826,3739.4704310995853,11907.730478043795,1293.089278563991,2937.950731032516
1,6643.582091989633,9599.708758870394,3551.8427776849294,6574.237563093267,6579.238933880479,61252.16205998437,3680.3828205165546,746.3251941006033,29792.872607834484,7832.117164729931,46560.459962894856,30887.05698646586,5627.209716685191,1909.3410619669153,4333.243759209856,2638.9265745928587,38451.51273424452,1073.9697955079087,775.4672765365173,676.7945192134154,438.65391494656393,779.3421859903083,12217.936935170972,7364.242364725002,15607.04652203763,5855.702917246639,5811.582078512551,3778.668497844247,11909.108320129837,1347.250767424524,3008.3415447094976
2,6658.377212526639,9663.76884106086,3576.3368795889596,6578.309441676895,6601.825374423018,61454.68924470689,3682.839840659755,747.0390173138139,29847.899033288806,7832.960318698835,46927.993701899206,31215.282943702165,5606.440752169795,1912.9184428888907,4362.996846805459,2673.0636685644045,38580.144258385655,1076.3779770557394,764.6379768154168,679.5579644402292,440.7071408691091,787.070041833224,12257.53571631079,7385.479402864922,15698.251002846468,5889.741667829718,5827.660858829041,3806.085616280596,11978.805423256885,1363.6827768755759,3017.7835553539053
3,6643.118005160373,9655.998992842997,3581.153371388201,6573.952121271614,6619.0995410212945,61108.936552162755,3673.8302810538426,749.7778790140874,29801.5552046035,7846.121078590968,46953.34677300534,31069.808338929135,5607.443016769892,1903.1530976065173,4372.65271771684,2672.7250695794123,38481.50202179227,1077.9937372341965,770.20920950958,682.9572910606705,439.15276905297344,787.460621690247,12288.05692630054,7356.523760923846,15632.87016028351,5885.201081548264,5835.399625411623,3812.6242117145603,11952.66153208903,1369.0213419632378,3011.9087265066983
4,6499.004572937858,9510.980664738228,3541.9994877276104,6484.71196875414,6464.6999218885985,59874.1332039047,3533.7195196775892,739.5828517209445,29464.40955502404,7887.581852607738,46241.94332784011,30157.969898737876,5565.6213758143585,1895.9590057581415,4321.138338417271,2631.0671688097646,38109.3049627988,1063.6934510937867,782.2570414211216,672.5178517412019,437.78619545557046,782.6315911871493,12124.818466073237,7347.263465819809,15527.545087871598,5841.2988517054855,5778.901757112815,3792.3326638612757,11570.700770737496,1343.9066659282776,2980.4968775733005
5,5483.085607037847,8488.562012379622,3318.853772311778,5655.130355649907,5525.6117443544545,51208.234504925334,3064.621131813252,641.6789968338052,26386.154741678703,7235.602880740905,40744.26125743688,26286.29254091603,5320.838750141542,1775.6432366350057,3937.4814526884743,2388.709322214245,33049.93648793564,942.7785427759586,710.8606778130413,583.4784619813411,434.87115033882196,774.876846772848,10557.011580282639,6537.861055663283,13924.780640549658,5147.109993582647,5324.264688951111,3666.201922891345,10236.803088668741,1188.3725728921763,2735.980503352988
6,4882.84704934401,8019.937776467053,3253.417059566212,5311.049683865638,5352.660937381359,46375.76830843385,2997.669391169802,620.3899431940623,24232.701229017293,6965.469430246786,37668.40331090604,25235.908786684024,4907.781475731433,1651.772466339925,3705.1637411367956,2262.4967333035424,29296.45959335019,903.4772398048656,632.4161862800828,558.667268875261,438.55605665227705,801.3397312059092,9842.187150351503,6289.934930909403,12313.052858179823,4788.228475584733,4829.757650983225,3522.6601289062946,10157.418524521356,1115.137510873721,2632.0618713079048
